steps, time(s), memory(MB)
0, 4.0454E-5, 1.0684356689453125
1000, 0.124580753, 27.061195373535156
2000, 0.165092364, 32.565452575683594
3000, 0.202091608, 38.0706787109375
4000, 0.242326952, 5.57464599609375
5000, 0.283861985, 49.07269287109375
6000, 0.320091092, 39.57212829589844
7000, 0.356203533, 30.566741943359375
8000, 0.392179032, 21.07054901123047
9000, 0.431915227, 11.576126098632812
10000, 0.469866821, 55.07417297363281
11000, 0.505939368, 35.56965637207031
12000, 0.541874018, 16.067718505859375
13000, 0.577446765, 59.569671630859375
14000, 0.613993619, 40.06968688964844
15000, 0.649794008, 21.070159912109375
16000, 0.685826953, 1.5726165771484375
17000, 0.72147692, 45.07066345214844
18000, 0.757736175, 25.572616577148438
19000, 0.794137572, 6.0750732421875
20000, 0.829453684, 49.5770263671875
21000, 0.865229153, 30.07745361328125
22000, 0.900771114, 10.579879760742188
23000, 0.936392409, 54.07987976074219
24000, 0.972118657, 35.08233642578125
25000, 1.007884786, 15.58428955078125
26000, 1.04316759, 59.08233642578125
27000, 1.078710275, 39.58476257324219
28000, 1.11439783, 20.08721923828125
29000, 1.149874733, 63.58917236328125
30000, 1.186483313, 44.09161376953125
31000, 1.225987008, 24.59600830078125
32000, 1.266371988, 5.5984344482421875
33000, 1.307576471, 49.09648132324219
34000, 1.349537845, 29.600875854492188
35000, 1.390925063, 10.105300903320312
36000, 1.432038129, 53.60725402832031
37000, 1.473670875, 34.10774230957031
38000, 1.515096826, 14.608200073242188
39000, 1.556370809, 58.10624694824219
40000, 1.597941715, 39.10868835449219
41000, 1.639472065, 19.617019653320312
42000, 1.680899091, 63.11506652832031
43000, 1.723004892, 43.61747741699219
44000, 1.764899409, 24.117965698242188
45000, 1.806524747, 4.62432861328125
46000, 1.847546872, 48.12237548828125
47000, 1.889198276, 28.62677001953125
48000, 1.930810543, 9.62921142578125
49000, 1.971921534, 53.12725830078125
50000, 2.013456389, 33.63165283203125
51000, 2.054896685, 14.130172729492188
52000, 2.096458154, 57.63212585449219
53000, 2.138105837, 38.13655090332031
54000, 2.179656315, 18.637008666992188
55000, 2.221533807, 62.13505554199219
56000, 2.263814548, 43.14143371582031
57000, 2.30565412, 23.641891479492188
58000, 2.347521504, 4.14434814453125
59000, 2.388662178, 47.64630126953125
60000, 2.430284655, 28.144821166992188
61000, 2.471846251, 8.649215698242188
62000, 2.513034624, 52.14726257324219
63000, 2.554657304, 32.65165710449219
64000, 2.596561253, 13.156082153320312
65000, 2.638036475, 57.15608215332031
66000, 2.680979452, 37.65653991699219
67000, 2.723701902, 18.160964965820312
68000, 2.765489795, 61.66291809082031
69000, 2.807467224, 42.16339111328125
70000, 2.849472279, 22.669754028320312
