steps, time(s), memory(MB)
0, 4.1636E-5, 1.0560073852539062
1000, 0.01611503, 3.1376876831054688
2000, 0.028919986, 1.176605224609375
3000, 0.038992088, 3.2364044189453125
4000, 0.050807648, 2.2575531005859375
5000, 0.056930395, 1.2581787109375
6000, 0.063438756, 3.3177871704101562
7000, 0.069269157, 2.3131637573242188
8000, 0.075216021, 1.3724288940429688
9000, 0.080433361, 3.3724594116210938
10000, 0.085941664, 2.4317779541015625
11000, 0.091343873, 1.4911270141601562
12000, 0.097049362, 3.4911346435546875
13000, 0.103067758, 2.5154495239257812
14000, 0.107988197, 4.515449523925781
15000, 0.114511576, 6.013496398925781
16000, 0.122637554, 7.515449523925781
17000, 0.127277424, 9.013496398925781
18000, 0.131727235, 11.013496398925781
19000, 0.135972559, 12.515449523925781
20000, 0.140212665, 14.013496398925781
21000, 0.144874363, 15.515449523925781
22000, 0.149232373, 17.01349639892578
23000, 0.153437325, 19.01349639892578
24000, 0.157814301, 20.51544952392578
25000, 0.162436011, 22.01349639892578
26000, 0.167071074, 23.51544952392578
27000, 0.171159817, 25.51544952392578
28000, 0.17527078, 27.01349639892578
29000, 0.179811188, 28.51544952392578
30000, 0.183960406, 30.01349639892578
31000, 0.18810571, 32.01349639892578
32000, 0.192400886, 33.51544952392578
33000, 0.197293771, 35.01349639892578
34000, 0.201521664, 36.51544952392578
35000, 0.205636405, 38.01544952392578
36000, 0.210550814, 2.0154647827148438
37000, 0.214560878, 3.5174179077148438
38000, 0.218571927, 5.015464782714844
39000, 0.222171255, 6.517417907714844
40000, 0.225677084, 8.517417907714844
41000, 0.229629378, 10.015464782714844
42000, 0.233268186, 11.517417907714844
43000, 0.23671088, 13.015464782714844
44000, 0.240103141, 15.015464782714844
45000, 0.243937827, 16.517417907714844
46000, 0.247438497, 18.015464782714844
47000, 0.250913161, 19.517417907714844
48000, 0.254369429, 21.517417907714844
49000, 0.257833073, 23.015464782714844
50000, 0.26175331, 24.517417907714844
51000, 0.265278777, 26.015464782714844
52000, 0.268776586, 27.517417907714844
53000, 0.272181636, 29.517417907714844
54000, 0.275619224, 31.015464782714844
55000, 0.279453538, 32.517417907714844
56000, 0.282898365, 34.015464782714844
57000, 0.286334634, 36.015464782714844
58000, 0.289772585, 37.517417907714844
59000, 0.293652056, 39.015464782714844
60000, 0.298049777, 2.5233230590820312
61000, 0.301567812, 4.523323059082031
62000, 0.305004997, 6.021369934082031
63000, 0.308402311, 7.523323059082031
64000, 0.312232582, 9.021369934082031
65000, 0.316489713, 10.523323059082031
66000, 0.320322937, 12.523323059082031
67000, 0.323827581, 14.021369934082031
68000, 0.327865234, 15.523323059082031
69000, 0.331320814, 17.02136993408203
70000, 0.334993579, 19.02136993408203
71000, 0.338483298, 20.52332305908203
72000, 0.342093233, 22.02136993408203
73000, 0.345897901, 23.52332305908203
74000, 0.349610609, 25.52332305908203
75000, 0.353186781, 27.02136993408203
76000, 0.356593625, 28.52332305908203
77000, 0.360770208, 30.02136993408203
78000, 0.364201719, 32.02136993408203
79000, 0.367927753, 33.52332305908203
80000, 0.371386221, 35.02136993408203
81000, 0.37505889, 36.52332305908203
82000, 0.378942692, 38.02136993408203
83000, 0.38296781, 2.0253067016601562
84000, 0.386450297, 3.5272598266601562
85000, 0.389982301, 5.025306701660156
86000, 0.393804828, 6.527259826660156
87000, 0.397482128, 8.527259826660156
88000, 0.40097856, 10.025306701660156
89000, 0.404497359, 11.527259826660156
90000, 0.407983495, 13.025306701660156
91000, 0.411945273, 15.025306701660156
92000, 0.415981298, 16.527259826660156
93000, 0.419920456, 18.025306701660156
94000, 0.423456855, 19.527259826660156
95000, 0.427330046, 21.025306701660156
96000, 0.430853743, 23.025306701660156
97000, 0.434310611, 24.527259826660156
98000, 0.437928759, 26.025306701660156
99000, 0.441382235, 27.527259826660156
100000, 0.445262637, 29.527259826660156
101000, 0.448865839, 31.025306701660156
102000, 0.452508786, 32.527259826660156
103000, 0.456001899, 34.025306701660156
104000, 0.459711463, 36.025306701660156
105000, 0.46341996, 37.527259826660156
