#tm, #states, #transitions, steps, time(ns), memory(Byte)
4, 256, 65536, 100, 774240362, 20050288
4, 256, 65536, 200, 1226967170, 21150816
4, 256, 65536, 300, 1686544402, 30848312
4, 256, 65536, 400, 2048667151, 48157896
4, 256, 65536, 500, 2716295610, 43371272
4, 256, 65536, 600, 3070382737, 34117816
4, 256, 65536, 700, 3572142356, 21209624
4, 256, 65536, 800, 3968196430, 56285448
4, 256, 65536, 900, 4477750503, 3421112
4, 256, 65536, 1000, 4963268188, 52213944
