#tm, #states, #transitions, steps, time(s), memory(MB)
4, 256, 65536, 860, 4.433132181, 34.559242248535156
4, 256, 65536, 870, 4.484176279, 5.164329528808594
4, 256, 65536, 880, 4.534143515, 14.662376403808594
4, 256, 65536, 890, 4.583799298, 24.164329528808594
4, 256, 65536, 900, 4.633562099, 33.662376403808594
4, 256, 65536, 910, 4.684856023, 3.7762374877929688
4, 256, 65536, 920, 4.734783744, 13.278190612792969
4, 256, 65536, 930, 4.784406321, 22.77623748779297
4, 256, 65536, 940, 4.83446148, 32.27819061279297
4, 256, 65536, 950, 4.883640508, 2.5493240356445312
4, 256, 65536, 960, 4.932752259, 12.051277160644531
4, 256, 65536, 970, 4.981399262, 21.54932403564453
4, 256, 65536, 980, 5.030363158, 31.05127716064453
4, 256, 65536, 990, 5.078809341, 40.54932403564453
4, 256, 65536, 1000, 5.128582967, 10.637977600097656
4, 256, 65536, 1010, 5.17711065, 20.139930725097656
4, 256, 65536, 1020, 5.226408994, 29.637977600097656
4, 256, 65536, 1030, 5.27578802, 39.139930725097656
4, 256, 65536, 1040, 5.325605233, 9.743766784667969
4, 256, 65536, 1050, 5.374770613, 19.24571990966797
4, 256, 65536, 1060, 5.423319218, 28.74376678466797
4, 256, 65536, 1070, 5.472383099, 38.24571990966797
4, 256, 65536, 1080, 5.521840721, 8.520278930664062
4, 256, 65536, 1090, 5.571087456, 17.520278930664062
4, 256, 65536, 1100, 5.619892154, 27.022232055664062
4, 256, 65536, 1110, 5.668830096, 36.52027893066406
4, 256, 65536, 1120, 5.71840712, 7.103248596191406
4, 256, 65536, 1130, 5.767805375, 16.601295471191406
4, 256, 65536, 1140, 5.816758756, 26.103248596191406
4, 256, 65536, 1150, 5.86588902, 35.601295471191406
4, 256, 65536, 1160, 5.915353693, 6.19781494140625
4, 256, 65536, 1170, 5.964549008, 15.69586181640625
4, 256, 65536, 1180, 6.013202521, 24.69586181640625
4, 256, 65536, 1190, 6.06237991, 34.19781494140625
4, 256, 65536, 1200, 6.112182852, 4.80767822265625
4, 256, 65536, 1210, 6.162513631, 14.30963134765625
4, 256, 65536, 1220, 6.211617096, 23.80767822265625
4, 256, 65536, 1230, 6.261629406, 33.30963134765625
4, 256, 65536, 1240, 6.311386284, 3.5760269165039062
4, 256, 65536, 1250, 6.360338716, 13.077980041503906
4, 256, 65536, 1260, 6.409283364, 22.576026916503906
4, 256, 65536, 1270, 6.459142272, 31.576026916503906
4, 256, 65536, 1280, 6.509496132, 2.1718978881835938
4, 256, 65536, 1290, 6.559751513, 11.669944763183594
4, 256, 65536, 1300, 6.609107964, 21.171897888183594
4, 256, 65536, 1310, 6.658106978, 30.669944763183594
4, 256, 65536, 1320, 6.707814193, 40.171897888183594
4, 256, 65536, 1330, 6.758658153, 10.776481628417969
4, 256, 65536, 1340, 6.808376907, 20.27843475341797
4, 256, 65536, 1350, 6.857444855, 29.77648162841797
4, 256, 65536, 1360, 6.905909859, 38.77648162841797
4, 256, 65536, 1370, 6.955872436, 9.071479797363281
4, 256, 65536, 1380, 7.004555688, 18.56952667236328
4, 256, 65536, 1390, 7.053565207, 28.07147979736328
4, 256, 65536, 1400, 7.102109704, 37.56952667236328
4, 256, 65536, 1410, 7.15198224, 8.138946533203125
4, 256, 65536, 1420, 7.200719579, 17.636993408203125
4, 256, 65536, 1430, 7.249921489, 27.138946533203125
4, 256, 65536, 1440, 7.299457443, 36.636993408203125
4, 256, 65536, 1450, 7.349816943, 6.749046325683594
4, 256, 65536, 1460, 7.399149432, 16.250999450683594
4, 256, 65536, 1470, 7.448325008, 25.749046325683594
4, 256, 65536, 1480, 7.497078662, 35.250999450683594
4, 256, 65536, 1490, 7.546979458, 5.516136169433594
4, 256, 65536, 1500, 7.59598162, 15.018089294433594
4, 256, 65536, 1510, 7.64520426, 24.516136169433594
4, 256, 65536, 1520, 7.695206255, 34.018089294433594
4, 256, 65536, 1530, 7.745172946, 4.602699279785156
4, 256, 65536, 1540, 7.794767672, 13.602699279785156
4, 256, 65536, 1550, 7.844359079, 23.104652404785156
4, 256, 65536, 1560, 7.893062558, 32.602699279785156
4, 256, 65536, 1570, 7.943093943, 3.2077865600585938
4, 256, 65536, 1580, 7.991848253, 12.705833435058594
4, 256, 65536, 1590, 8.040779533, 22.207786560058594
4, 256, 65536, 1600, 8.089753877, 31.705833435058594
4, 256, 65536, 1610, 8.139358174, 2.3026580810546875
4, 256, 65536, 1620, 8.188934326, 11.800704956054688
4, 256, 65536, 1630, 8.238120019, 20.800704956054688
4, 256, 65536, 1640, 8.288796659, 30.302658081054688
4, 256, 65536, 1650, 8.338494438, 39.80070495605469
4, 256, 65536, 1660, 8.389455901, 10.094703674316406
4, 256, 65536, 1670, 8.439009583, 19.592750549316406
4, 256, 65536, 1680, 8.489108978, 29.094703674316406
4, 256, 65536, 1690, 8.538641784, 38.592750549316406
4, 256, 65536, 1700, 8.589738489, 9.170036315917969
4, 256, 65536, 1710, 8.639299467, 18.66808319091797
4, 256, 65536, 1720, 8.689083761, 27.66808319091797
4, 256, 65536, 1730, 8.738756295, 37.17003631591797
4, 256, 65536, 1740, 8.7901471, 7.784446716308594
4, 256, 65536, 1750, 8.839727081, 17.286399841308594
4, 256, 65536, 1760, 8.88957856, 26.784446716308594
4, 256, 65536, 1770, 8.939100068, 36.286399841308594
4, 256, 65536, 1780, 8.989737868, 6.561759948730469
4, 256, 65536, 1790, 9.038677124, 16.06371307373047
4, 256, 65536, 1800, 9.087552059, 25.56175994873047
4, 256, 65536, 1810, 9.13609883, 34.56175994873047
4, 256, 65536, 1820, 9.187010418, 5.144874572753906
4, 256, 65536, 1830, 9.236454544, 14.642921447753906
4, 256, 65536, 1840, 9.286650667, 24.144874572753906
4, 256, 65536, 1850, 9.335323543, 33.642921447753906
4, 256, 65536, 1860, 9.385851153, 4.2384490966796875
4, 256, 65536, 1870, 9.435502242, 13.736495971679688
4, 256, 65536, 1880, 9.485569631, 23.238449096679688
4, 256, 65536, 1890, 9.534511625, 32.73649597167969
4, 256, 65536, 1900, 9.584876558, 2.84918212890625
4, 256, 65536, 1910, 9.633768555, 12.35113525390625
4, 256, 65536, 1920, 9.682871023, 21.84918212890625
4, 256, 65536, 1930, 9.73284271, 31.35113525390625
4, 256, 65536, 1940, 9.782781905, 40.84918212890625
4, 256, 65536, 1950, 9.832142658, 11.119453430175781
4, 256, 65536, 1960, 9.88145612, 20.61750030517578
4, 256, 65536, 1970, 9.929996274, 30.11945343017578
4, 256, 65536, 1980, 9.978952588, 39.61750030517578
4, 256, 65536, 1990, 10.028660144, 9.711982727050781
4, 256, 65536, 2000, 10.077661478, 19.21393585205078
4, 256, 65536, 2010, 10.126084323, 28.71198272705078
4, 256, 65536, 2020, 10.174967222, 38.21393585205078
4, 256, 65536, 2030, 10.225088015, 8.818115234375
4, 256, 65536, 2040, 10.275306372, 18.320068359375
4, 256, 65536, 2050, 10.324220652, 27.818115234375
4, 256, 65536, 2060, 10.373465617, 37.320068359375
4, 256, 65536, 2070, 10.423332317, 7.611061096191406
4, 256, 65536, 2080, 10.472883188, 16.611061096191406
4, 256, 65536, 2090, 10.521495775, 26.113014221191406
4, 256, 65536, 2100, 10.570789424, 35.611061096191406
4, 256, 65536, 2110, 10.620243454, 6.180564880371094
4, 256, 65536, 2120, 10.669884833, 15.678611755371094
4, 256, 65536, 2130, 10.718895619, 25.180564880371094
4, 256, 65536, 2140, 10.769606496, 34.678611755371094
4, 256, 65536, 2150, 10.820115758, 5.292503356933594
4, 256, 65536, 2160, 10.871013775, 14.790550231933594
4, 256, 65536, 2170, 10.919434752, 23.790550231933594
4, 256, 65536, 2180, 10.969911755, 33.292503356933594
4, 256, 65536, 2190, 11.019324062, 3.5576553344726562
4, 256, 65536, 2200, 11.06860343, 13.059608459472656
4, 256, 65536, 2210, 11.117016815, 22.557655334472656
4, 256, 65536, 2220, 11.165933764, 32.059608459472656
4, 256, 65536, 2230, 11.215800401, 2.6442031860351562
4, 256, 65536, 2240, 11.265481689, 12.146156311035156
4, 256, 65536, 2250, 11.31481115, 21.644203186035156
4, 256, 65536, 2260, 11.363674721, 30.644203186035156
4, 256, 65536, 2270, 11.412689159, 40.146156311035156
4, 256, 65536, 2280, 11.462787934, 10.74749755859375
4, 256, 65536, 2290, 11.512343201, 20.24945068359375
4, 256, 65536, 2300, 11.562189267, 29.74749755859375
4, 256, 65536, 2310, 11.611928058, 39.24945068359375
4, 256, 65536, 2320, 11.662722363, 9.844032287597656
4, 256, 65536, 2330, 11.711322906, 19.345985412597656
4, 256, 65536, 2340, 11.760180721, 28.844032287597656
4, 256, 65536, 2350, 11.809482328, 37.844032287597656
4, 256, 65536, 2360, 11.859559231, 8.138191223144531
4, 256, 65536, 2370, 11.908295508, 17.63623809814453
4, 256, 65536, 2380, 11.95681781, 27.13819122314453
4, 256, 65536, 2390, 12.006826585, 36.63623809814453
4, 256, 65536, 2400, 12.057202759, 7.213600158691406
4, 256, 65536, 2410, 12.10703239, 16.711647033691406
4, 256, 65536, 2420, 12.156389287, 26.213600158691406
4, 256, 65536, 2430, 12.206036083, 35.711647033691406
4, 256, 65536, 2440, 12.255675941, 5.811408996582031
4, 256, 65536, 2450, 12.305519751, 15.313362121582031
4, 256, 65536, 2460, 12.354173012, 24.81140899658203
4, 256, 65536, 2470, 12.403407266, 34.31336212158203
4, 256, 65536, 2480, 12.452827694, 4.605216979980469
4, 256, 65536, 2490, 12.50218828, 14.107170104980469
4, 256, 65536, 2500, 12.550743857, 23.60521697998047
4, 256, 65536, 2510, 12.600872937, 33.10717010498047
4, 256, 65536, 2520, 12.651148868, 3.6863784790039062
4, 256, 65536, 2530, 12.701559461, 12.686378479003906
4, 256, 65536, 2540, 12.751137232, 22.188331604003906
4, 256, 65536, 2550, 12.801758049, 31.686378479003906
4, 256, 65536, 2560, 12.851869138, 2.2819061279296875
4, 256, 65536, 2570, 12.900726955, 11.779953002929688
4, 256, 65536, 2580, 12.949232005, 21.281906127929688
4, 256, 65536, 2590, 12.998063167, 30.779953002929688
4, 256, 65536, 2600, 13.046795287, 40.28190612792969
4, 256, 65536, 2610, 13.096642849, 10.892379760742188
4, 256, 65536, 2620, 13.145351612, 19.892379760742188
4, 256, 65536, 2630, 13.194307234, 29.394332885742188
4, 256, 65536, 2640, 13.24284799, 38.89237976074219
4, 256, 65536, 2650, 13.293363217, 9.162879943847656
4, 256, 65536, 2660, 13.342466111, 18.660926818847656
4, 256, 65536, 2670, 13.392302699, 28.162879943847656
4, 256, 65536, 2680, 13.441841565, 37.660926818847656
4, 256, 65536, 2690, 13.492655728, 8.257392883300781
4, 256, 65536, 2700, 13.542175737, 17.75543975830078
4, 256, 65536, 2710, 13.592367833, 26.75543975830078
4, 256, 65536, 2720, 13.641896102, 36.25739288330078
4, 256, 65536, 2730, 13.693430511, 6.861701965332031
4, 256, 65536, 2740, 13.742728362, 16.36365509033203
4, 256, 65536, 2750, 13.79233326, 25.86170196533203
4, 256, 65536, 2760, 13.841184502, 35.36365509033203
4, 256, 65536, 2770, 13.890962496, 5.654518127441406
