#tm, #states, #transitions, steps, time(ns), memory(byte)
2, 16, 256, 100, 41949643, 2168896
3, 64, 4096, 100, 143087004, 12213184
4, 256, 65536, 100, 1487547793, 127018360
5, 1024, 1048576, 100, 13827006122, 1824001144
