steps, time(s), memory(MB)
0, 0.020668123, 1.0255661010742188
1000, 0.03171298, 1.505950927734375
2000, 0.03502295, 1.9775543212890625
3000, 0.036946605, 2.4578323364257812
4000, 0.039584649, 1.1852264404296875
5000, 0.041559281, 1.6647720336914062
6000, 0.043404309, 2.1452255249023438
7000, 0.045149959, 2.6247787475585938
8000, 0.047717017, 1.0523300170898438
9000, 0.049345705, 1.5296173095703125
10000, 0.051863902, 2.012542724609375
11000, 0.053538726, 2.4898681640625
12000, 0.055931776, 0.9694671630859375
13000, 0.058077554, 1.4455413818359375
14000, 0.061009235, 1.8901443481445312
15000, 0.063793419, 2.3661270141601562
16000, 0.065364689, 2.8418350219726562
17000, 0.069738187, 1.3299789428710938
18000, 0.071805096, 1.8048477172851562
19000, 0.073855492, 2.2508316040039062
20000, 0.076051459, 2.7257003784179688
21000, 0.079196734, 1.3485870361328125
22000, 0.081687352, 1.8466339111328125
23000, 0.084926008, 2.3485870361328125
24000, 0.087701032, 2.8466339111328125
25000, 0.090702343, 3.3485870361328125
26000, 0.093385967, 3.3485870361328125
27000, 0.095368652, 3.8466339111328125
28000, 0.097279421, 4.3485870361328125
29000, 0.099516814, 4.8466339111328125
30000, 0.101687698, 5.3485870361328125
31000, 0.102581799, 5.8466339111328125
32000, 0.103400425, 5.8466339111328125
33000, 0.104197278, 6.3485870361328125
34000, 0.105001334, 6.8466339111328125
35000, 0.10588893, 7.3485870361328125
36000, 0.106654539, 7.3485870361328125
37000, 0.107714239, 7.8466339111328125
38000, 0.108998326, 8.348587036132812
39000, 0.110014967, 8.846633911132812
40000, 0.111089561, 8.846633911132812
41000, 0.112337851, 9.348587036132812
42000, 0.113445641, 9.846633911132812
43000, 0.1144011, 10.348587036132812
44000, 0.115552467, 10.348587036132812
45000, 0.116671913, 10.846633911132812
46000, 0.117507172, 11.348587036132812
47000, 0.118490211, 11.846633911132812
48000, 0.119477533, 12.348587036132812
49000, 0.120314811, 12.348587036132812
50000, 0.121183421, 12.846633911132812
51000, 0.122129941, 13.348587036132812
52000, 0.123064086, 13.848587036132812
53000, 0.123928941, 13.848587036132812
54000, 0.124794274, 14.348587036132812
55000, 0.125777546, 14.846633911132812
56000, 0.126685238, 15.348587036132812
57000, 0.127671819, 15.348587036132812
58000, 0.128612281, 15.846633911132812
59000, 0.129459323, 16.348587036132812
60000, 0.130377243, 16.846633911132812
61000, 0.131325047, 16.846633911132812
62000, 0.132204515, 17.348587036132812
63000, 0.133098778, 17.846633911132812
64000, 0.133990798, 18.348587036132812
65000, 0.134762961, 18.846633911132812
66000, 0.135314619, 18.846633911132812
67000, 0.135864726, 19.348587036132812
68000, 0.136377785, 19.846633911132812
69000, 0.136922596, 19.846633911132812
70000, 0.1374019, 20.348587036132812
71000, 0.137883825, 20.846633911132812
72000, 0.138362604, 20.846633911132812
73000, 0.138895668, 21.348587036132812
74000, 0.139380447, 21.846633911132812
75000, 0.14007795, 21.846633911132812
76000, 0.141064691, 22.348587036132812
77000, 0.141551048, 22.846633911132812
78000, 0.142020094, 22.846633911132812
79000, 0.142494333, 23.348587036132812
80000, 0.14301594, 23.846633911132812
81000, 0.143663818, 24.348587036132812
82000, 0.144128554, 24.348587036132812
83000, 0.1446032, 24.846633911132812
84000, 0.145128413, 25.348587036132812
85000, 0.145643955, 25.348587036132812
86000, 0.146084377, 25.846633911132812
87000, 0.146529897, 26.348587036132812
88000, 0.146968047, 26.348587036132812
89000, 0.147409379, 26.846633911132812
90000, 0.147849796, 27.348587036132812
91000, 0.148288733, 27.348587036132812
92000, 0.148796193, 27.846633911132812
93000, 0.149272368, 28.348587036132812
94000, 0.149881134, 28.348587036132812
95000, 0.15057615, 28.846633911132812
96000, 0.151183056, 29.348587036132812
97000, 0.151910727, 29.846633911132812
98000, 0.152667714, 29.846633911132812
99000, 0.153314277, 30.348587036132812
100000, 0.153780706, 30.846633911132812
101000, 0.154219151, 30.846633911132812
102000, 0.154662229, 31.348587036132812
103000, 0.155101882, 31.846633911132812
104000, 0.155577791, 31.846633911132812
105000, 0.156019453, 32.34858703613281
106000, 0.156495109, 32.84663391113281
107000, 0.157006545, 32.84663391113281
108000, 0.157448015, 33.34858703613281
109000, 0.157888246, 33.84663391113281
110000, 0.158327912, 33.84663391113281
111000, 0.158766954, 34.34858703613281
112000, 0.159483562, 34.84663391113281
113000, 0.159970556, 35.34858703613281
114000, 0.160416659, 35.34858703613281
115000, 0.160935265, 35.84663391113281
116000, 0.161432255, 36.34858703613281
117000, 0.16188373, 36.34858703613281
118000, 0.162339153, 36.84663391113281
119000, 0.162795492, 37.34858703613281
120000, 0.163356671, 37.34858703613281
121000, 0.16392039, 37.84663391113281
122000, 0.164462061, 38.34858703613281
123000, 0.164998578, 38.34858703613281
124000, 0.165541126, 38.84663391113281
125000, 0.167120125, 1.37481689453125
126000, 0.167604954, 1.87286376953125
127000, 0.168007358, 1.87286376953125
128000, 0.168484074, 2.37481689453125
129000, 0.168915925, 2.87286376953125
130000, 0.16927866, 2.87286376953125
131000, 0.169661652, 3.37481689453125
132000, 0.170007473, 3.87286376953125
133000, 0.170354795, 3.87286376953125
134000, 0.170706784, 4.37481689453125
135000, 0.171058631, 4.87286376953125
136000, 0.17141574, 4.87286376953125
137000, 0.171763587, 5.37481689453125
138000, 0.172109288, 5.87286376953125
139000, 0.172455615, 5.87286376953125
140000, 0.172910965, 6.37481689453125
141000, 0.173290304, 6.87286376953125
142000, 0.173633675, 7.37481689453125
143000, 0.17397075, 7.37481689453125
144000, 0.174307361, 7.87286376953125
145000, 0.17464488, 8.37481689453125
146000, 0.175064888, 8.37481689453125
147000, 0.175558518, 8.87286376953125
148000, 0.175898566, 9.37481689453125
149000, 0.176236454, 9.37481689453125
150000, 0.176612818, 9.87286376953125
151000, 0.177019763, 10.37481689453125
152000, 0.177362409, 10.37481689453125
153000, 0.177878522, 10.87286376953125
154000, 0.178226444, 11.37481689453125
155000, 0.178562497, 11.37481689453125
156000, 0.17890062, 11.87286376953125
157000, 0.179238761, 12.37481689453125
158000, 0.179579886, 12.87286376953125
159000, 0.179916576, 12.87286376953125
160000, 0.180253734, 13.37481689453125
161000, 0.180597881, 13.87286376953125
162000, 0.181001071, 13.87286376953125
163000, 0.181338655, 14.37481689453125
164000, 0.181674482, 14.87286376953125
165000, 0.182012103, 14.87286376953125
166000, 0.182349885, 15.37481689453125
167000, 0.182803676, 15.87286376953125
168000, 0.183370476, 15.87286376953125
169000, 0.183851664, 16.37481689453125
170000, 0.184317418, 16.87286376953125
171000, 0.184692895, 16.87286376953125
172000, 0.185103866, 17.37481689453125
173000, 0.185451006, 17.87286376953125
174000, 0.185827524, 18.37481689453125
175000, 0.186165807, 18.37481689453125
176000, 0.186502673, 18.87286376953125
177000, 0.186839716, 19.37481689453125
178000, 0.187175791, 19.37481689453125
179000, 0.187512516, 19.87286376953125
180000, 0.187850001, 20.37481689453125
181000, 0.188186106, 20.37481689453125
182000, 0.188530256, 20.87286376953125
183000, 0.188941504, 21.37481689453125
184000, 0.18927706, 21.37481689453125
185000, 0.18961486, 21.87286376953125
186000, 0.189952282, 22.37481689453125
187000, 0.190288061, 22.37481689453125
188000, 0.190623975, 22.87286376953125
189000, 0.191025553, 23.37481689453125
190000, 0.191510733, 23.87286376953125
191000, 0.191847619, 23.87286376953125
192000, 0.192188318, 24.37481689453125
193000, 0.192560448, 24.87286376953125
194000, 0.192964662, 24.87286376953125
195000, 0.193308724, 25.37481689453125
196000, 0.193682306, 25.87286376953125
197000, 0.194017578, 25.87286376953125
198000, 0.194355978, 26.37481689453125
199000, 0.194691966, 26.87286376953125
200000, 0.195028148, 26.87286376953125
201000, 0.195366009, 27.37481689453125
202000, 0.195702842, 27.87286376953125
203000, 0.196039365, 27.87286376953125
204000, 0.196382611, 28.37481689453125
205000, 0.196720145, 28.87286376953125
206000, 0.197309295, 29.37481689453125
207000, 0.197661536, 29.37481689453125
208000, 0.198002099, 29.87286376953125
209000, 0.198363581, 30.37481689453125
210000, 0.198716343, 30.37481689453125
211000, 0.199054011, 30.87286376953125
212000, 0.199514858, 31.37481689453125
213000, 0.19988007, 31.37481689453125
214000, 0.200443532, 31.87286376953125
215000, 0.200880592, 32.37481689453125
216000, 0.201216568, 32.37481689453125
217000, 0.20155377, 32.87286376953125
218000, 0.201894098, 33.37481689453125
219000, 0.202230098, 33.37481689453125
220000, 0.202572748, 33.87286376953125
221000, 0.202911997, 34.37481689453125
222000, 0.203247815, 34.87286376953125
223000, 0.20358345, 34.87286376953125
224000, 0.203920628, 35.37481689453125
225000, 0.20425788, 35.87286376953125
226000, 0.204593014, 35.87286376953125
227000, 0.205091375, 36.37481689453125
228000, 0.205524709, 36.87286376953125
229000, 0.205909706, 36.87286376953125
230000, 0.206252836, 37.37481689453125
231000, 0.20662884, 37.87286376953125
232000, 0.206964556, 37.87286376953125
233000, 0.207331362, 38.37481689453125
234000, 0.207691016, 38.87286376953125
235000, 0.208905415, 1.3941650390625
236000, 0.209247434, 1.3941650390625
237000, 0.209587295, 1.8922119140625
238000, 0.209929945, 2.3941650390625
239000, 0.210271781, 2.3941650390625
240000, 0.210658336, 2.8922119140625
241000, 0.21099853, 3.3941650390625
242000, 0.211334448, 3.3941650390625
243000, 0.211670999, 3.8922119140625
244000, 0.212009614, 4.3941650390625
245000, 0.212347764, 4.3941650390625
246000, 0.212690763, 4.8922119140625
247000, 0.213253863, 5.3941650390625
