steps, time(s), memory(MB)
0, 3.464E-5, 1.0565872192382812
1000, 0.027521282, 1.3446426391601562
2000, 0.041667735, 1.8873825073242188
3000, 0.055051723, 2.468109130859375
4000, 0.067245608, 3.0052947998046875
5000, 0.074900496, 3.5870742797851562
6000, 0.081898893, 1.5537948608398438
7000, 0.086201209, 4.553794860839844
8000, 0.090310288, 7.051841735839844
9000, 0.094067197, 10.051841735839844
10000, 0.097804409, 13.051841735839844
11000, 0.101593528, 15.553794860839844
12000, 0.105327605, 18.553794860839844
13000, 0.108986133, 21.553794860839844
14000, 0.11277113, 24.553794860839844
15000, 0.116464123, 27.051841735839844
16000, 0.120154287, 30.051841735839844
17000, 0.123877707, 33.051841735839844
18000, 0.127559539, 35.553794860839844
19000, 0.131252763, 38.553794860839844
20000, 0.134935142, 3.5568161010742188
21000, 0.137665798, 6.054862976074219
22000, 0.140396988, 9.054862976074219
23000, 0.14320635, 12.054862976074219
24000, 0.145972724, 14.556816101074219
25000, 0.148729268, 17.55681610107422
26000, 0.151537673, 20.55681610107422
27000, 0.154252013, 23.05486297607422
28000, 0.156965651, 26.05486297607422
29000, 0.159723378, 29.05486297607422
30000, 0.16249137, 31.55681610107422
31000, 0.16520594, 34.55681610107422
32000, 0.168004586, 37.55681610107422
33000, 0.171316416, 2.0545730590820312
34000, 0.174129237, 5.054573059082031
35000, 0.176854042, 8.054573059082031
36000, 0.179582895, 10.556526184082031
37000, 0.182348681, 13.556526184082031
38000, 0.185112714, 16.55652618408203
39000, 0.187843018, 19.05457305908203
40000, 0.19060684, 22.05457305908203
41000, 0.193329852, 25.05457305908203
42000, 0.196129569, 28.05457305908203
43000, 0.199444547, 30.55652618408203
44000, 0.202422082, 33.55652618408203
45000, 0.205224039, 36.55652618408203
46000, 0.207992179, 39.05457305908203
47000, 0.211415195, 4.054405212402344
48000, 0.214247384, 7.054405212402344
49000, 0.216970936, 9.556358337402344
50000, 0.219736207, 12.556358337402344
51000, 0.222549597, 15.556358337402344
52000, 0.225273336, 18.054405212402344
53000, 0.228054783, 21.054405212402344
54000, 0.230838909, 24.054405212402344
55000, 0.233599834, 26.556358337402344
56000, 0.236354153, 29.556358337402344
57000, 0.239072409, 32.556358337402344
58000, 0.241783815, 35.054405212402344
59000, 0.244499372, 38.054405212402344
60000, 0.248466774, 3.0561676025390625
61000, 0.252203969, 5.5581207275390625
62000, 0.255853512, 8.558120727539062
63000, 0.259524063, 11.558120727539062
64000, 0.263196903, 14.056167602539062
65000, 0.266336281, 17.056167602539062
66000, 0.269060951, 20.056167602539062
67000, 0.271826589, 22.558120727539062
68000, 0.274591573, 25.558120727539062
69000, 0.277320572, 28.558120727539062
70000, 0.280080989, 31.558120727539062
71000, 0.282886799, 34.05616760253906
72000, 0.285637044, 37.05616760253906
73000, 0.288366921, 40.05616760253906
74000, 0.291091383, 42.55812072753906
75000, 0.293816061, 45.55812072753906
76000, 0.297144523, 1.5600509643554688
77000, 0.299960245, 4.058097839355469
78000, 0.302741893, 7.058097839355469
79000, 0.305505397, 10.058097839355469
80000, 0.308316548, 12.560050964355469
81000, 0.311083038, 15.560050964355469
82000, 0.313844809, 18.56005096435547
83000, 0.316618109, 21.05809783935547
84000, 0.319349748, 24.05809783935547
85000, 0.322078794, 27.05809783935547
86000, 0.324798694, 29.56005096435547
87000, 0.327524964, 32.56005096435547
88000, 0.330253384, 35.56005096435547
89000, 0.333012944, 38.05809783935547
90000, 0.335740508, 41.05809783935547
91000, 0.338501945, 44.05809783935547
92000, 0.341220418, 46.56005096435547
93000, 0.344471398, 2.57110595703125
94000, 0.347246742, 5.57110595703125
95000, 0.350055066, 8.06915283203125
96000, 0.352857908, 11.06915283203125
97000, 0.35563591, 14.06915283203125
98000, 0.358417053, 17.06915283203125
99000, 0.361150473, 19.57110595703125
100000, 0.363926446, 22.57110595703125
101000, 0.366694029, 25.57110595703125
102000, 0.36941546, 28.06915283203125
103000, 0.372224651, 31.06915283203125
104000, 0.375032919, 34.06915283203125
105000, 0.377810674, 36.57110595703125
106000, 0.380670265, 39.57110595703125
107000, 0.383484897, 42.57110595703125
108000, 0.386219836, 45.06915283203125
109000, 0.389047458, 48.06915283203125
110000, 0.392282776, 4.0658721923828125
111000, 0.395038532, 6.5678253173828125
112000, 0.397748371, 9.567825317382812
113000, 0.400577612, 12.567825317382812
114000, 0.403487453, 15.065872192382812
115000, 0.406300572, 18.065872192382812
116000, 0.409017393, 21.065872192382812
117000, 0.411839644, 23.567825317382812
118000, 0.414659783, 26.567825317382812
119000, 0.41743769, 29.567825317382812
120000, 0.420213332, 32.06587219238281
121000, 0.422974221, 35.06587219238281
122000, 0.42572695, 38.06587219238281
123000, 0.428493199, 40.56782531738281
124000, 0.43126088, 43.56782531738281
125000, 0.434106353, 46.56782531738281
126000, 0.437766767, 2.571990966796875
127000, 0.441400941, 5.070037841796875
128000, 0.445060043, 8.070037841796875
129000, 0.448715571, 11.070037841796875
130000, 0.452412157, 13.571990966796875
131000, 0.45605936, 16.571990966796875
132000, 0.459081892, 19.571990966796875
133000, 0.461794745, 22.070037841796875
134000, 0.464595843, 25.070037841796875
135000, 0.467317489, 28.070037841796875
136000, 0.470035897, 30.571990966796875
137000, 0.472767791, 33.571990966796875
138000, 0.475493067, 36.571990966796875
139000, 0.478216416, 39.070037841796875
140000, 0.480939842, 42.070037841796875
141000, 0.483700988, 45.070037841796875
142000, 0.486420554, 47.571990966796875
143000, 0.489135528, 50.571990966796875
144000, 0.491938675, 53.571990966796875
145000, 0.494665641, 56.070037841796875
146000, 0.497990087, 3.0749969482421875
147000, 0.500752157, 6.0749969482421875
148000, 0.503479005, 8.576950073242188
149000, 0.506239284, 11.576950073242188
150000, 0.508954665, 14.576950073242188
151000, 0.511672486, 17.074996948242188
152000, 0.514432723, 20.074996948242188
153000, 0.517147423, 23.074996948242188
154000, 0.519865953, 26.074996948242188
155000, 0.522685405, 28.576950073242188
156000, 0.525412037, 31.576950073242188
157000, 0.528136239, 34.57695007324219
158000, 0.530871288, 37.07499694824219
159000, 0.533788583, 40.07499694824219
160000, 0.536560779, 43.07499694824219
161000, 0.539321739, 45.57695007324219
162000, 0.542079489, 48.57695007324219
163000, 0.544875784, 51.57695007324219
164000, 0.547652734, 54.07499694824219
165000, 0.550504439, 57.07499694824219
166000, 0.553727249, 4.0769500732421875
167000, 0.55647963, 6.5789031982421875
168000, 0.559207332, 9.578903198242188
169000, 0.561987012, 12.578903198242188
170000, 0.564714508, 15.076950073242188
171000, 0.567479716, 18.076950073242188
172000, 0.570203044, 21.076950073242188
173000, 0.572922427, 23.578903198242188
174000, 0.575688279, 26.578903198242188
175000, 0.57849042, 29.578903198242188
176000, 0.581207535, 32.07695007324219
177000, 0.583973273, 35.07695007324219
178000, 0.586698883, 38.07695007324219
179000, 0.589421114, 40.57890319824219
180000, 0.592148691, 43.57890319824219
181000, 0.594911213, 46.57890319824219
182000, 0.597667867, 49.07890319824219
183000, 0.600427669, 52.07695007324219
184000, 0.603161298, 55.07695007324219
185000, 0.606347115, 2.0835189819335938
186000, 0.609107029, 4.585472106933594
187000, 0.611832611, 7.585472106933594
188000, 0.61460061, 10.585472106933594
189000, 0.617316463, 13.083518981933594
190000, 0.620038045, 16.083518981933594
191000, 0.622763241, 19.083518981933594
192000, 0.625485576, 21.585472106933594
193000, 0.628214916, 24.585472106933594
194000, 0.630946397, 27.585472106933594
195000, 0.633705692, 30.083518981933594
196000, 0.636426287, 33.083518981933594
197000, 0.639147282, 36.083518981933594
198000, 0.641868805, 38.585472106933594
199000, 0.644591608, 41.585472106933594
200000, 0.647313031, 44.585472106933594
201000, 0.650074314, 47.083518981933594
202000, 0.652802462, 50.083518981933594
203000, 0.655527426, 53.083518981933594
204000, 0.658253988, 55.585472106933594
205000, 0.661368318, 2.5927963256835938
206000, 0.664091147, 5.592796325683594
207000, 0.666844262, 8.090843200683594
208000, 0.669595773, 11.090843200683594
209000, 0.672311746, 14.090843200683594
210000, 0.675031516, 16.592796325683594
211000, 0.677753001, 19.592796325683594
212000, 0.680481191, 22.592796325683594
213000, 0.68321298, 25.592796325683594
214000, 0.686026275, 28.090843200683594
215000, 0.688772061, 31.090843200683594
216000, 0.691505683, 34.090843200683594
217000, 0.694239171, 36.592796325683594
218000, 0.696963546, 39.592796325683594
219000, 0.699731157, 42.592796325683594
220000, 0.702469939, 45.090843200683594
221000, 0.705187651, 48.090843200683594
222000, 0.70791264, 51.090843200683594
223000, 0.710637112, 53.592796325683594
224000, 0.713402401, 56.592796325683594
225000, 0.716543414, 3.5947418212890625
226000, 0.719351352, 6.0927886962890625
227000, 0.722163513, 9.092788696289062
228000, 0.724964594, 12.092788696289062
229000, 0.727761542, 14.594741821289062
230000, 0.73055599, 17.594741821289062
231000, 0.7333486, 20.594741821289062
232000, 0.736147535, 23.092788696289062
233000, 0.738947378, 26.092788696289062
234000, 0.741743517, 29.092788696289062
235000, 0.744548381, 31.594741821289062
236000, 0.747328381, 34.59474182128906
237000, 0.750100616, 37.59474182128906
238000, 0.752837495, 40.09278869628906
239000, 0.75556495, 43.09278869628906
240000, 0.758289989, 46.09278869628906
241000, 0.761009677, 49.09278869628906
242000, 0.763733209, 51.59474182128906
243000, 0.766458412, 54.59474182128906
244000, 0.769578191, 1.6006622314453125
245000, 0.772340386, 4.0987091064453125
246000, 0.775059507, 7.0987091064453125
247000, 0.777772422, 10.098709106445312
248000, 0.780487948, 12.600662231445312
249000, 0.783283196, 15.600662231445312
250000, 0.786037999, 18.600662231445312
251000, 0.788752032, 21.098709106445312
252000, 0.791470908, 24.098709106445312
253000, 0.794186767, 27.098709106445312
254000, 0.79689977, 29.600662231445312
255000, 0.799694069, 32.60066223144531
256000, 0.802416516, 35.60066223144531
257000, 0.805130305, 38.09870910644531
258000, 0.807848613, 41.09870910644531
259000, 0.810573645, 44.09870910644531
260000, 0.813351439, 46.60066223144531
261000, 0.816122199, 49.60066223144531
262000, 0.818859236, 52.60066223144531
263000, 0.821577252, 55.09870910644531
264000, 0.824756096, 2.1038970947265625
265000, 0.827568722, 5.1038970947265625
266000, 0.830363708, 7.6058502197265625
267000, 0.833155874, 10.605850219726562
268000, 0.835954909, 13.605850219726562
269000, 0.838753748, 16.605850219726562
270000, 0.841540424, 19.103897094726562
271000, 0.844334476, 22.103897094726562
272000, 0.847130721, 25.103897094726562
273000, 0.849929564, 27.605850219726562
274000, 0.852735059, 30.605850219726562
275000, 0.855511251, 33.60585021972656
276000, 0.858244299, 36.10389709472656
277000, 0.860963521, 39.10389709472656
278000, 0.863686457, 42.10389709472656
279000, 0.866450699, 44.60585021972656
280000, 0.869170197, 47.60585021972656
281000, 0.871895978, 50.60585021972656
282000, 0.874659611, 53.10389709472656
283000, 0.877376905, 56.10389709472656
284000, 0.880500013, 3.1110382080078125
285000, 0.8832726, 5.6129913330078125
286000, 0.886073403, 8.612991333007812
287000, 0.888796264, 11.612991333007812
288000, 0.891567947, 14.111038208007812
289000, 0.894290482, 17.111038208007812
290000, 0.897045372, 20.111038208007812
291000, 0.899803966, 22.612991333007812
292000, 0.902532795, 25.612991333007812
293000, 0.905293272, 28.612991333007812
294000, 0.908024695, 31.111038208007812
295000, 0.910752302, 34.11103820800781
296000, 0.913517249, 37.11103820800781
297000, 0.916239891, 40.11103820800781
298000, 0.918967951, 42.61299133300781
299000, 0.92169076, 45.61299133300781
300000, 0.924415916, 48.61299133300781
301000, 0.927145866, 51.11103820800781
302000, 0.929870852, 54.11103820800781
303000, 0.932595538, 57.11103820800781
304000, 0.935755038, 3.6158905029296875
305000, 0.93848255, 6.6158905029296875
306000, 0.94120591, 9.615890502929688
307000, 0.943926065, 12.113937377929688
308000, 0.946684531, 15.113937377929688
309000, 0.949444148, 18.113937377929688
310000, 0.9522795, 20.615890502929688
311000, 0.955010474, 23.615890502929688
312000, 0.957733452, 26.615890502929688
313000, 0.96045782, 29.113937377929688
314000, 0.963180162, 32.11393737792969
315000, 0.965900426, 35.11393737792969
316000, 0.968619736, 37.61589050292969
317000, 0.971347365, 40.61589050292969
318000, 0.974093587, 43.61589050292969
319000, 0.976856767, 46.11393737792969
320000, 0.979587563, 49.11393737792969
321000, 0.982309876, 52.11393737792969
322000, 0.985069343, 54.61589050292969
323000, 0.988214315, 1.6196136474609375
324000, 0.991015454, 4.6196136474609375
325000, 0.993747292, 7.6196136474609375
326000, 0.996481917, 10.117660522460938
327000, 0.999215511, 13.117660522460938
328000, 1.001987426, 16.117660522460938
329000, 1.004711521, 18.619613647460938
330000, 1.007434989, 21.619613647460938
331000, 1.010312973, 24.619613647460938
332000, 1.013370378, 27.117660522460938
333000, 1.016149579, 30.117660522460938
334000, 1.018891946, 33.11766052246094
335000, 1.021620762, 35.61961364746094
336000, 1.024394521, 38.61961364746094
337000, 1.027122402, 41.61961364746094
