#tm, #states, #transitions, steps, time(ns), memory(Byte)
4, 256, 65536, 100, 782642333, 20660776
4, 256, 65536, 200, 1169640939, 12018112
4, 256, 65536, 300, 1736383108, 18749000
4, 256, 65536, 400, 2134131694, 25035184
4, 256, 65536, 500, 2555918691, 17047016
4, 256, 65536, 600, 2893878528, 36628776
4, 256, 65536, 700, 3366607448, 16057264
4, 256, 65536, 800, 3848471662, 38736552
4, 256, 65536, 900, 4423096480, 14558528
4, 256, 65536, 1000, 4851661856, 33766104
