steps, time(s), memory(MB)
0, 0.014772771, 1.025848388671875
1000, 0.022338744, 1.5062713623046875
2000, 0.025411908, 1.9378662109375
3000, 0.028094659, 2.3780670166015625
4000, 0.031630138, 1.0578384399414062
5000, 0.034047059, 1.4976272583007812
6000, 0.036457904, 1.93792724609375
7000, 0.038833426, 2.377777099609375
8000, 0.04130111, 2.8176040649414062
9000, 0.044430236, 1.2477645874023438
10000, 0.046786649, 1.6854705810546875
11000, 0.049174622, 2.1283950805664062
12000, 0.051558644, 2.5661087036132812
13000, 0.054407976, 1.0347442626953125
14000, 0.056392008, 1.51068115234375
15000, 0.058316197, 1.9157638549804688
16000, 0.060164841, 2.3917007446289062
17000, 0.061909254, 2.827972412109375
18000, 0.06399896, 1.2642745971679688
19000, 0.065556686, 1.6996231079101562
20000, 0.067174645, 2.1455230712890625
21000, 0.06870559, 2.5808792114257812
22000, 0.071638621, 1.3489608764648438
23000, 0.074375958, 1.8470077514648438
24000, 0.076954126, 1.8489608764648438
25000, 0.079479061, 2.7290420532226562
26000, 0.081564099, 3.3489608764648438
27000, 0.083105234, 3.8470077514648438
28000, 0.084710643, 4.348960876464844
29000, 0.085484891, 4.348960876464844
30000, 0.086238175, 4.847007751464844
31000, 0.086941031, 5.348960876464844
32000, 0.087696727, 5.348960876464844
33000, 0.088138462, 5.847007751464844
34000, 0.088562956, 6.348960876464844
35000, 0.088983072, 6.348960876464844
36000, 0.08940276, 6.847007751464844
37000, 0.089879291, 7.348960876464844
38000, 0.090299395, 7.847007751464844
39000, 0.090718966, 7.847007751464844
40000, 0.091141993, 8.348960876464844
41000, 0.091564937, 8.847007751464844
42000, 0.091982825, 8.847007751464844
43000, 0.092403842, 9.348960876464844
44000, 0.092825977, 9.847007751464844
45000, 0.093246337, 9.847007751464844
46000, 0.093670278, 10.348960876464844
47000, 0.094147714, 10.847007751464844
48000, 0.094590323, 11.348960876464844
49000, 0.094998766, 11.348960876464844
50000, 0.095407291, 11.847007751464844
51000, 0.095915496, 12.348960876464844
52000, 0.096334663, 12.348960876464844
53000, 0.096756663, 12.847007751464844
54000, 0.097181222, 13.348960876464844
55000, 0.097604001, 13.847007751464844
56000, 0.098073938, 13.848960876464844
57000, 0.098495917, 14.348960876464844
58000, 0.098916166, 14.847007751464844
59000, 0.099336056, 14.847007751464844
60000, 0.099760217, 15.348960876464844
61000, 0.100228805, 15.847007751464844
62000, 0.100654092, 15.847007751464844
63000, 0.101075291, 16.348960876464844
64000, 0.101499428, 16.847007751464844
65000, 0.101964068, 17.348960876464844
66000, 0.102383559, 17.348960876464844
67000, 0.102804861, 17.847007751464844
68000, 0.103225784, 18.348960876464844
69000, 0.103642602, 18.348960876464844
70000, 0.104059523, 18.847007751464844
71000, 0.104483678, 19.348960876464844
72000, 0.104904524, 19.348960876464844
73000, 0.105324888, 19.847007751464844
74000, 0.105794731, 20.348960876464844
75000, 0.106215248, 20.847007751464844
76000, 0.106634333, 20.847007751464844
77000, 0.107058075, 21.348960876464844
78000, 0.107480533, 21.847007751464844
79000, 0.107918697, 21.847007751464844
80000, 0.108352682, 22.348960876464844
81000, 0.108825824, 22.847007751464844
82000, 0.109252451, 22.848960876464844
83000, 0.10967574, 23.348960876464844
84000, 0.110146145, 23.847007751464844
85000, 0.110569956, 24.348960876464844
86000, 0.110988371, 24.348960876464844
87000, 0.111409286, 24.847007751464844
88000, 0.111831139, 25.348960876464844
89000, 0.112254692, 25.348960876464844
90000, 0.112678806, 25.847007751464844
91000, 0.113100857, 26.348960876464844
92000, 0.113521933, 26.847007751464844
93000, 0.1139902, 26.847007751464844
94000, 0.11441613, 27.348960876464844
95000, 0.114839679, 27.847007751464844
96000, 0.115262092, 27.847007751464844
97000, 0.115689744, 28.348960876464844
98000, 0.116111008, 28.847007751464844
99000, 0.116532759, 28.847007751464844
100000, 0.116957834, 29.348960876464844
101000, 0.117382956, 29.847007751464844
102000, 0.117865029, 30.348960876464844
103000, 0.11828926, 30.348960876464844
104000, 0.118710279, 30.847007751464844
105000, 0.119174573, 31.348960876464844
106000, 0.11959847, 31.348960876464844
107000, 0.120023824, 31.847007751464844
108000, 0.120491905, 32.348960876464844
109000, 0.120914592, 32.348960876464844
110000, 0.121340625, 32.847007751464844
111000, 0.121817138, 33.348960876464844
112000, 0.122239171, 33.847007751464844
113000, 0.122661724, 33.847007751464844
114000, 0.123088094, 34.348960876464844
115000, 0.123553281, 34.847007751464844
116000, 0.124015912, 34.847007751464844
117000, 0.124442731, 35.348960876464844
118000, 0.124879828, 35.847007751464844
119000, 0.125291782, 36.348960876464844
120000, 0.125802434, 36.348960876464844
121000, 0.12622532, 36.847007751464844
122000, 0.126649876, 37.348960876464844
123000, 0.127072736, 37.348960876464844
124000, 0.127494018, 37.847007751464844
125000, 0.127919078, 38.348960876464844
126000, 0.128442452, 38.348960876464844
127000, 0.12903587, 38.847007751464844
128000, 0.130452827, 1.3853988647460938
129000, 0.130626953, 1.8834457397460938
130000, 0.130802466, 1.8834457397460938
131000, 0.130993388, 2.3853988647460938
132000, 0.131184774, 2.8834457397460938
133000, 0.131437092, 2.8834457397460938
134000, 0.131642619, 3.3853988647460938
135000, 0.131807264, 3.8834457397460938
136000, 0.13197018, 3.8834457397460938
137000, 0.132135445, 4.385398864746094
138000, 0.13229977, 4.883445739746094
139000, 0.132466071, 5.385398864746094
140000, 0.132630594, 5.385398864746094
141000, 0.132795417, 5.883445739746094
142000, 0.132960599, 6.385398864746094
143000, 0.133124527, 6.385398864746094
144000, 0.13330194, 6.883445739746094
145000, 0.13346783, 7.385398864746094
146000, 0.133633261, 7.883445739746094
147000, 0.133846829, 7.883445739746094
148000, 0.134012105, 8.385398864746094
149000, 0.134176486, 8.883445739746094
150000, 0.134339887, 8.883445739746094
151000, 0.134505435, 9.385398864746094
152000, 0.134669391, 9.883445739746094
153000, 0.134832059, 9.883445739746094
154000, 0.134997018, 10.385398864746094
155000, 0.135160947, 10.883445739746094
156000, 0.135325645, 11.385398864746094
157000, 0.135488969, 11.385398864746094
158000, 0.135653494, 11.883445739746094
159000, 0.135820057, 12.385398864746094
160000, 0.135983159, 12.385398864746094
161000, 0.136147427, 12.883445739746094
162000, 0.136311668, 13.385398864746094
163000, 0.13647504, 13.385398864746094
164000, 0.136638179, 13.883445739746094
165000, 0.136802933, 14.385398864746094
166000, 0.136966931, 14.883445739746094
167000, 0.137130624, 14.883445739746094
168000, 0.13729541, 15.385398864746094
169000, 0.137459783, 15.883445739746094
170000, 0.137623894, 15.883445739746094
171000, 0.137840746, 16.385398864746094
172000, 0.138005891, 16.883445739746094
173000, 0.138170719, 17.385398864746094
174000, 0.138334082, 17.385398864746094
175000, 0.138498177, 17.883445739746094
176000, 0.138685069, 18.385398864746094
177000, 0.138867842, 18.385398864746094
178000, 0.139032138, 18.883445739746094
179000, 0.139197265, 19.385398864746094
180000, 0.139361031, 19.385398864746094
181000, 0.139524475, 19.883445739746094
182000, 0.1396891, 20.385398864746094
183000, 0.139852782, 20.883445739746094
184000, 0.140015952, 20.883445739746094
185000, 0.140182605, 21.385398864746094
186000, 0.140346831, 21.883445739746094
187000, 0.140510197, 21.883445739746094
188000, 0.140675995, 22.385398864746094
189000, 0.140840612, 22.883445739746094
190000, 0.141003933, 22.883445739746094
191000, 0.141169858, 23.385398864746094
192000, 0.141333224, 23.883445739746094
193000, 0.14149853, 24.385398864746094
194000, 0.141661693, 24.385398864746094
195000, 0.141877663, 24.883445739746094
196000, 0.142044, 25.385398864746094
197000, 0.14220795, 25.385398864746094
198000, 0.142371836, 25.883445739746094
199000, 0.142536996, 26.385398864746094
200000, 0.142701313, 26.385398864746094
201000, 0.142865278, 26.883445739746094
202000, 0.143030941, 27.385398864746094
203000, 0.143195074, 27.883445739746094
204000, 0.143358329, 27.883445739746094
205000, 0.143523479, 28.385398864746094
206000, 0.143688196, 28.883445739746094
207000, 0.143851302, 28.883445739746094
208000, 0.144017682, 29.385398864746094
209000, 0.144181929, 29.883445739746094
210000, 0.144347367, 30.385398864746094
211000, 0.144511238, 30.385398864746094
212000, 0.144675627, 30.883445739746094
213000, 0.144840633, 31.385398864746094
214000, 0.145003916, 31.385398864746094
215000, 0.145167272, 31.883445739746094
216000, 0.145332627, 32.385398864746094
217000, 0.145497003, 32.385398864746094
218000, 0.1456614, 32.883445739746094
219000, 0.14587549, 33.385398864746094
220000, 0.146040606, 33.883445739746094
221000, 0.146204115, 33.883445739746094
222000, 0.146368778, 34.385398864746094
223000, 0.146532801, 34.883445739746094
224000, 0.146696248, 34.883445739746094
225000, 0.14686127, 35.385398864746094
226000, 0.147025605, 35.883445739746094
227000, 0.147189723, 35.883445739746094
228000, 0.147355533, 36.385398864746094
229000, 0.147518997, 36.883445739746094
230000, 0.147684312, 37.385398864746094
231000, 0.147847592, 37.385398864746094
232000, 0.148013429, 37.883445739746094
233000, 0.148179221, 38.385398864746094
234000, 0.148341938, 38.385398864746094
235000, 0.148506221, 38.883445739746094
236000, 0.149527103, 1.3882904052734375
237000, 0.149696269, 1.8863372802734375
238000, 0.149885418, 1.8863372802734375
239000, 0.150052755, 2.3882904052734375
