#tm, #states, #transitions, steps, time(ns), memory(Byte)
2, 16, 256, 100, 97334016, 2916032
3, 64, 4096, 100, 348829935, 11202752
4, 256, 65536, 100, 1685066125, 11341280
5, 1024, 1048576, 100, 4855735272, 27227184
6, 4096, 16777216, 100, 21525157430, 66693512
7, 16384, 268435456, 100, 108154487792, 457612840
